Timestamp,Container,CPU%
2025-04-24 21:32:04,example-edu-10.9.0.65,0.00%
2025-04-24 21:32:04,root-10.9.0.30,0.01%
2025-04-24 21:32:04,local-dns-10.9.0.53,0.00%
2025-04-24 21:32:04,spare-edu-10.9.0.66,0.00%
2025-04-24 21:32:04,user-10.9.0.5,0.00%
2025-04-24 21:32:04,edu-10.9.0.60,0.00%
2025-04-24 21:32:07,example-edu-10.9.0.65,0.01%
2025-04-24 21:32:07,root-10.9.0.30,0.01%
2025-04-24 21:32:07,local-dns-10.9.0.53,0.29%
2025-04-24 21:32:07,spare-edu-10.9.0.66,0.01%
2025-04-24 21:32:07,user-10.9.0.5,4.81%
2025-04-24 21:32:07,edu-10.9.0.60,0.01%
2025-04-24 21:32:11,example-edu-10.9.0.65,0.00%
2025-04-24 21:32:11,root-10.9.0.30,0.01%
2025-04-24 21:32:11,local-dns-10.9.0.53,0.14%
2025-04-24 21:32:11,spare-edu-10.9.0.66,0.00%
2025-04-24 21:32:11,user-10.9.0.5,2.61%
2025-04-24 21:32:11,edu-10.9.0.60,0.16%
