Timestamp,Container,CPU%
2025-04-24 21:24:02,example-edu-10.9.0.65,0.01%
2025-04-24 21:24:02,local-dns-10.9.0.53,0.01%
2025-04-24 21:24:02,edu-10.9.0.60,0.01%
2025-04-24 21:24:02,spare-edu-10.9.0.66,0.00%
2025-04-24 21:24:02,user-10.9.0.5,0.00%
2025-04-24 21:24:02,root-10.9.0.30,0.00%
2025-04-24 21:24:06,example-edu-10.9.0.65,0.01%
2025-04-24 21:24:06,local-dns-10.9.0.53,0.07%
2025-04-24 21:24:06,edu-10.9.0.60,0.01%
2025-04-24 21:24:06,spare-edu-10.9.0.66,0.00%
2025-04-24 21:24:06,user-10.9.0.5,1.95%
2025-04-24 21:24:06,root-10.9.0.30,0.00%
2025-04-24 21:24:10,example-edu-10.9.0.65,0.01%
2025-04-24 21:24:10,local-dns-10.9.0.53,0.01%
2025-04-24 21:24:10,edu-10.9.0.60,0.00%
2025-04-24 21:24:10,spare-edu-10.9.0.66,0.00%
2025-04-24 21:24:10,user-10.9.0.5,0.00%
2025-04-24 21:24:10,root-10.9.0.30,0.01%
